VA_Set,Heurística,Ejecución,VA_Temp,VO_Temp,VA_Hum,VO_Hum,VA_Noise,VO_Noise,VA_Light,VO_Luz,Satisfacción,Satisfacción_S,Satisfacción_E
8,Recocido Simulado,25,28,22.320123539330783,78,58.90546964947936,43,45.10288167845018,6093,495.6905657431437,0.5292362500000001,0.34719,0.58501
8,Recocido Simulado,26,28,23.21514283005354,78,55.24313373202572,43,44.92551244787876,6093,498.7006972022519,0.53085625,0.36666,0.47014
8,Recocido Simulado,27,28,20.088302465983155,78,44.644682503952964,43,44.609666640744656,6093,490.2964922612447,0.52801375,0.6373599999999999,0.30191
8,Recocido Simulado,28,28,23.15188302178839,78,44.91343579698892,43,43.37740514300784,6093,497.7196450694437,0.5336775,0.33973000000000003,0.53558
8,Recocido Simulado,29,28,24.730259323609253,78,43.037783587477996,43,42.97603610126621,6093,487.9042280694708,0.5275075,0.48253,0.4611775
8,Recocido Simulado,30,28,22.548222535146245,78,49.54182811948846,43,36.75194052309186,6093,493.0493263477969,0.52494625,0.43193,0.5707125
9,Recocido Simulado,1,26,18.38785858485394,71,40.830307013890746,55,39.599449513692065,7334,498.92858067315143,0.50544125,0.50297,0.2591775
9,Recocido Simulado,2,26,19.644514183787518,71,51.95387155662289,55,53.20796188695469,7334,497.8469388284892,0.5070187500000001,0.55892,0.325545
9,Recocido Simulado,3,26,24.102293985256264,71,57.08776797697871,55,55.99981886465535,7334,497.0976548418212,0.5071325,0.30301,0.5157
9,Recocido Simulado,4,26,24.64122093621639,71,50.66727557757549,55,55.72210428538281,7334,494.32579376816665,0.50655875,0.59343,0.33999250000000003
9,Recocido Simulado,5,26,19.04068567591783,71,44.08806952604727,55,55.00086064326491,7334,499.1530911154618,0.5100662499999999,0.13540000000000002,0.697275
9,Recocido Simulado,6,26,20.566308570618055,71,56.88675393177914,55,50.71893349926817,7334,499.3219863303634,0.50724875,0.29871000000000003,0.47336999999999996
9,Recocido Simulado,7,26,26.0,71,49.224075076848735,55,54.24623674055258,7334,499.8167417207208,0.50797,0.2394,0.75
9,Recocido Simulado,8,26,20.527468289932457,71,46.65529903918134,55,53.83108390938153,7334,497.303865936844,0.50691,0.52188,0.4452125
9,Recocido Simulado,9,26,20.10587013152253,71,50.26122465849586,55,50.98748118588207,7334,499.85724595014875,0.5075324999999999,0.68997,0.24305
9,Recocido Simulado,10,26,21.192274442533012,71,52.539977256112934,55,52.71789398995418,7334,497.9896096229349,0.5069925,0.22079000000000001,0.5934625
